video_id,SwinBERT Captions,SwinBERT Confidence Scores
4042843624,a man is in a boat and he is trying to get his boat to the dock.,0.398906469
11585784946,a man runs and jumps over a barrier and then runs into a barrier.,0.316869497
11014741844,a woman is teaching a group of small children how to throw a frisbee.,0.592429042
7999433239,a baby is being held up by a person and the baby is crying.,0.404378891
8671680638,a woman is sitting on a couch and talking about a new couch.,0.445753485
3836995607,a football player runs and catches a ball and runs to another player.,0.337562323
5784145977,a man is holding a trophy and another man is holding a trophy.,0.395172298
8903248754,a boy is swimming in a pool with a dog and a dog is swimming in the pool,0.378810436
4450585900,a man is interviewing another man while he is interviewing him.,0.428415477
3719700394,a man is standing in a field and talking to a woman while a man is standing next,0.343003154
8552604535,a person is riding a sled down a snowy hill.,0.496633917
5567723527,a dog is running around a yard with a ball and a person is running around.,0.294745684
12931165334,a woman is holding a dog and the dog is trying to get it to the ground.,0.377875626
3117433834,a man is riding a bike down a wooden stairs.,0.445004731
3260333327,a young boy is sitting in a baby stroller and another boy is pushing him in a,0.38152802
12426662833,two people are fencing in a gym while others watch.,0.500672162
8056742010,a woman is giving a weather report in front of a screen.,0.587884545
7810597862,a cat is laying on a bed and someone is petting it.,0.562321723
9908527013,a group of kids are running around in a yard and a little boy is running around.,0.414452732
4300097370,a man is sliding down a snowy hill on a sled.,0.568135262
3150999885,a man is giving a speech about the business of a conference.,0.335249156
6068292020,a man is holding a trophy and then a woman is standing in front of a man.,0.33457008
2683325258,a boy is standing in the grass and another boy runs and kicks him over.,0.431545287
6852782860,a group of people are standing in a room and they are doing sign language.,0.562318444
3534805493,two young boys are using a video game to record themselves.,0.304264426
3248674031,a baby is swinging in a bouncer and then falls down.,0.40322724
5398860552,a woman is teaching a young girl how to draw a picture of a girl.,0.452648848
6531536825,a baby is playing with a puppet and talking to the baby.,0.380345702
2415127881,a group of people are walking through a forest area.,0.515548468
7499914046,a man is walking around a stairway and petting a cat.,0.424954474
5464041286,a baby crawls on a couch and then falls down.,0.453341007
6074566861,a little boy is eating a snack and talking to someone.,0.415109068
8432337082,a group of people are on stage acting out a play.,0.504334152
4803117443,a woman is throwing a ball to a table and a dog is sitting on the table.,0.42651239
3942858808,a little boy is hitting golf balls with a golf club.,0.524569094
8283493827,two men are arm wrestling on a table in a studio.,0.497682422
2694001531,two people are standing at a fence and watching animals.,0.334733814
5211085354,a white car is driving across a grassy field and then a man is talking about it.,0.376671046
10777238933,a man is holding a little girl and he is doing pull ups on a playground.,0.430139333
5345106611,a person is playing a keyboard and then a person is playing a keyboard.,0.279956937
3511344402,a man is setting up a table with a little girl and a little girl is playing with,0.295531511
7447009524,a man and a woman are playing music on a stage.,0.476684481
3832173058,a man and a child are riding an elephant through a jungle.,0.568418324
3165351951,a dog is lying on the floor and a person is wrapping a stuffed animal.,0.459554195
5291771072,a girl is ice skating on an outdoor ice rink.,0.502260268
5340686202,a man and a woman are sitting on the floor and eating food.,0.551508129
7547663114,a man is playing a saxophone while a woman is playing the saxophone.,0.518927097
7160643474,a young boy is playing a trumpet in a room.,0.504853487
3134436461,a large group of people are eating and eating at a restaurant.,0.503590882
12080008545,a group of children are standing in a classroom and talking to each other.,0.45158118
