Unnamed: 0,vid_num,SwinBERT Captions,SwinBERT Confidence Scores
0,4042843624,a man is in a boat and he is trying to get his boat to the dock.,0.3989064693450928
1,11585784946,a man runs and jumps over a barrier and then runs into a barrier.,0.3168694972991943
2,11014741844,a woman is teaching a group of small children how to throw a frisbee.,0.5924290418624878
3,7999433239,a baby is being held up by a person and the baby is crying.,0.4043788909912109
4,8671680638,a woman is sitting on a couch and talking about a new couch.,0.4457534849643707
5,3836995607,a football player runs and catches a ball and runs to another player.,0.3375623226165771
6,5784145977,a man is holding a trophy and another man is holding a trophy.,0.3951722979545593
7,8903248754,a boy is swimming in a pool with a dog and a dog is swimming in the pool,0.3788104355335235
8,4450585900,a man is interviewing another man while he is interviewing him.,0.4284154772758484
9,3719700394,a man is standing in a field and talking to a woman while a man is standing next,0.3430031538009643
10,8552604535,a person is riding a sled down a snowy hill.,0.496633917093277
11,5567723527,a dog is running around a yard with a ball and a person is running around.,0.2947456836700439
12,12931165334,a woman is holding a dog and the dog is trying to get it to the ground.,0.3778756260871887
13,3117433834,a man is riding a bike down a wooden stairs.,0.4450047314167022
14,3260333327,a young boy is sitting in a baby stroller and another boy is pushing him in a,0.3815280199050903
15,12426662833,two people are fencing in a gym while others watch.,0.5006721615791321
16,8056742010,a woman is giving a weather report in front of a screen.,0.5878845453262329
17,7810597862,a cat is laying on a bed and someone is petting it.,0.5623217225074768
18,9908527013,a group of kids are running around in a yard and a little boy is running around.,0.4144527316093445
19,4300097370,a man is sliding down a snowy hill on a sled.,0.5681352615356445
20,3150999885,a man is giving a speech about the business of a conference.,0.3352491557598114
21,6068292020,a man is holding a trophy and then a woman is standing in front of a man.,0.3345700800418854
22,2683325258,a boy is standing in the grass and another boy runs and kicks him over.,0.4315452873706817
23,6852782860,a group of people are standing in a room and they are doing sign language.,0.5623184442520142
24,3534805493,two young boys are using a video game to record themselves.,0.3042644262313843
25,3248674031,a baby is swinging in a bouncer and then falls down.,0.4032272398471832
26,5398860552,a woman is teaching a young girl how to draw a picture of a girl.,0.4526488482952118
27,6531536825,a baby is playing with a puppet and talking to the baby.,0.3803457021713257
