video_id,video_path,caption,result1,action_caption
2574374895,/mnt/adithya/test/2574374895.mp4,a baby is sitting on a couch and drinking from a sippy cup.,cleaning floor,cleaning floor. a baby is sitting on a couch and drinking from a sippy cup.
2925959064,/mnt/adithya/test/2925959064.mp4,a person is feeding a bunch of birds in a river.,feeding fish,feeding fish. a person is feeding a bunch of birds in a river.
3083302557,/mnt/adithya/test/3083302557.mp4,a person is walking down a path in a wooded area.,playing paintball,playing paintball. a person is walking down a path in a wooded area.
3430723284,/mnt/adithya/test/3430723284.mp4,a man is holding a baby and the baby is trying to get the baby to laugh.,carrying baby,carrying baby. a man is holding a baby and the baby is trying to get the baby to laugh.
3621121750,/mnt/adithya/test/3621121750.mp4,a woman is sitting on a chair and a little boy is sitting on a chair and the,using computer,using computer. a woman is sitting on a chair and a little boy is sitting on a chair and the
4078892037,/mnt/adithya/test/4078892037.mp4,a baby is swinging on a swing and then he starts to dance.,laughing,laughing. a baby is swinging on a swing and then he starts to dance.
4522565412,/mnt/adithya/test/4522565412.mp4,a man is sitting at a table and trying to solve a rubik's cube.,shuffling cards,shuffling cards. a man is sitting at a table and trying to solve a rubik's cube.
4740931975,/mnt/adithya/test/4740931975.mp4,a man is standing on a bridge and he is catching a fish.,spinning poi,spinning poi. a man is standing on a bridge and he is catching a fish.
3747186945,/mnt/adithya/test/3747186945.mp4,a group of kids are playing with a toy and a little girl runs around the room.,decorating the christmas tree,decorating the christmas tree. a group of kids are playing with a toy and a little girl runs around the room.
6091329636,/mnt/adithya/test/6091329636.mp4,a woman is riding a bike down a path and then stops.,riding mountain bike,riding mountain bike. a woman is riding a bike down a path and then stops.
9528960175,/mnt/adithya/test/9528960175.mp4,a baby is sitting on a bed and drinking from a bottle and shaking his head.,reading book,reading book. a baby is sitting on a bed and drinking from a bottle and shaking his head.
9289576155,/mnt/adithya/test/9289576155.mp4,a cat is running and jumps over a hurdle and then a cat runs past him.,training dog,training dog. a cat is running and jumps over a hurdle and then a cat runs past him.
4188739935,/mnt/adithya/test/4188739935.mp4,a young boy rides a red motorcycle around a public area.,riding scooter,riding scooter. a young boy rides a red motorcycle around a public area.
4544425606,/mnt/adithya/test/4544425606.mp4,a man is holding a bird in his hand and talking to a man.,cleaning windows,cleaning windows. a man is holding a bird in his hand and talking to a man.
6885309190,/mnt/adithya/test/6885309190.mp4,a baby is sitting in a baby seat and shaking his head back and forth.,sticking tongue out,sticking tongue out. a baby is sitting in a baby seat and shaking his head back and forth.
9072405003,/mnt/adithya/test/9072405003.mp4,a cat is walking on a floor and a person is trying to get the cat to the,petting cat,petting cat. a cat is walking on a floor and a person is trying to get the cat to the
9371342049,/mnt/adithya/test/9371342049.mp4,two people are throwing knives at a tree in a wooded area.,tai chi,tai chi. two people are throwing knives at a tree in a wooded area.
7064920441,/mnt/adithya/test/7064920441.mp4,a baby is sitting on a man's lap and is laughing while he is drinking from,shaking head,shaking head. a baby is sitting on a man's lap and is laughing while he is drinking from
2704509130,/mnt/adithya/test/2704509130.mp4,a group of people are playing a game of dodgeball on a court.,shooting goal (soccer),shooting goal (soccer). a group of people are playing a game of dodgeball on a court.
11342887364,/mnt/adithya/test/11342887364.mp4,a man and a woman are dancing in a room.,country line dancing,country line dancing. a man and a woman are dancing in a room.
3579030253,/mnt/adithya/test/3579030253.mp4,a small dog is running around and a person is throwing a towel to the floor.,petting cat,petting cat. a small dog is running around and a person is throwing a towel to the floor.
3205604574,/mnt/adithya/test/3205604574.mp4,a young boy and a girl are dancing in a room with a tv.,playing recorder,playing recorder. a young boy and a girl are dancing in a room with a tv.
11169386614,/mnt/adithya/test/11169386614.mp4,a group of people are running and jumping around in a basket.,gymnastics tumbling,gymnastics tumbling. a group of people are running and jumping around in a basket.
4827069441,/mnt/adithya/test/4827069441.mp4,a little girl is sitting on the ground and petting a goat.,petting cat,petting cat. a little girl is sitting on the ground and petting a goat.
3425409935,/mnt/adithya/test/3425409935.mp4,a baby is sitting in a toy car and a man is pushing the baby in the car,driving car,driving car. a baby is sitting in a toy car and a man is pushing the baby in the car
4129080039,/mnt/adithya/test/4129080039.mp4,a woman is holding a bird in her hand and is feeding it.,petting animal (not cat),petting animal (not cat). a woman is holding a bird in her hand and is feeding it.
6579160577,/mnt/adithya/test/6579160577.mp4,a little boy is playing the piano while a woman is playing the piano.,playing organ,playing organ. a little boy is playing the piano while a woman is playing the piano.
6097011028,/mnt/adithya/test/6097011028.mp4,a woman is holding a book while another woman is talking to her.,auctioning,auctioning. a woman is holding a book while another woman is talking to her.
4651795201,/mnt/adithya/test/4651795201.mp4,a group of people are cooking in a kitchen and one is cooking food on a stove.,frying vegetables,frying vegetables. a group of people are cooking in a kitchen and one is cooking food on a stove.
4890173699,/mnt/adithya/test/4890173699.mp4,a man is petting a tiger and talking to the camera.,petting cat,petting cat. a man is petting a tiger and talking to the camera.
2876825076,/mnt/adithya/test/2876825076.mp4,a group of people are laughing and dancing in a room.,slapping,slapping. a group of people are laughing and dancing in a room.
7004238086,/mnt/adithya/test/7004238086.mp4,a cat is sitting on a couch and a person is sitting on a couch.,moving furniture,moving furniture. a cat is sitting on a couch and a person is sitting on a couch.
5866947362,/mnt/adithya/test/5866947362.mp4,a man is sitting on a couch with a little girl and she is reading a book to,answering questions,answering questions. a man is sitting on a couch with a little girl and she is reading a book to
6801869574,/mnt/adithya/test/6801869574.mp4,a man is pulling a child on a sled down a hill.,bobsledding,bobsledding. a man is pulling a child on a sled down a hill.
2794873229,/mnt/adithya/test/2794873229.mp4,a person is petting a cat that is laying on a bed.,petting animal (not cat),petting animal (not cat). a person is petting a cat that is laying on a bed.
4625256813,/mnt/adithya/test/4625256813.mp4,a man is doing some tricks on a skateboard in a garage.,parkour,parkour. a man is doing some tricks on a skateboard in a garage.
5508995205,/mnt/adithya/test/5508995205.mp4,a woman is holding a baby and she is holding her arms in the pool.,jumping into pool,jumping into pool. a woman is holding a baby and she is holding her arms in the pool.
2579825280,/mnt/adithya/test/2579825280.mp4,a group of people are walking through a river and then they are running.,crossing river,crossing river. a group of people are walking through a river and then they are running.
5624778109,/mnt/adithya/test/5624778109.mp4,a man is sitting on a beach holding a dog and he is holding a dog.,eating ice cream,eating ice cream. a man is sitting on a beach holding a dog and he is holding a dog.
11589691386,/mnt/adithya/test/11589691386.mp4,an old man is walking down the sidewalk and then a man is talking to him.,whistling,whistling. an old man is walking down the sidewalk and then a man is talking to him.
8886103892,/mnt/adithya/test/8886103892.mp4,a boy is using a tool to cut a wooden board.,bee keeping,bee keeping. a boy is using a tool to cut a wooden board.
3255908815,/mnt/adithya/test/3255908815.mp4,a baby is laying on the floor drinking from a bottle and then he drops it.,laughing,laughing. a baby is laying on the floor drinking from a bottle and then he drops it.
3086276600,/mnt/adithya/test/3086276600.mp4,a boy is swinging on a swing and then he falls off.,parkour,parkour. a boy is swinging on a swing and then he falls off.
4839003204,/mnt/adithya/test/4839003204.mp4,a woman is sitting in a chair and a man is trying to lick her ear.,shaving head,shaving head. a woman is sitting in a chair and a man is trying to lick her ear.
3844880628,/mnt/adithya/test/3844880628.mp4,a little boy is running around a room with a ball and throws it at the camera.,pushing cart,pushing cart. a little boy is running around a room with a ball and throws it at the camera.
7618872538,/mnt/adithya/test/7618872538.mp4,a woman is sitting on a chair with a baby and a boy is sitting in a chair,air drumming,air drumming. a woman is sitting on a chair with a baby and a boy is sitting in a chair
