,qid,ATP,answer,EIGV,HGA,IGV,VGT,frame_count,question,type,a0,a1,a2,a3,a4,all_correct,all_wrong,ATP_correct,EIGV_correct,HGA_correct,IGV_correct,VGT_correct
0,2574374895_8,3,2,3,3,4,3,719,what did the baby do after throwing the green cup away while on the floor near the end,TN,clap proudly,the lady sitting down,lay on floor,just picked it up,crawl,False,True,False,False,False,False,False
4,3621121750_2,3,4,3,3,4,2,1481,why did the boy punch his hand forwards in the middle of the video,CW,to touch the sandals,to dance on the floor,to play,he is bored,listening to music and dancing,False,True,False,False,False,True,False
5,4078892037_0,3,2,3,1,1,3,1450,how is the baby held,CH,in the high chair,in her arms,swing,strapped into pram,on white lady s arms,False,True,False,False,False,False,False
18,2704509130_8,0,4,0,0,1,0,833,how many people threw a ball,DC,two,eight,one,eleven,four,False,True,False,False,False,False,False
24,3425409935_0,4,2,1,1,4,1,2594,why does the lady assist the baby in the beginning,CW,playing with the baby,prevent him from falling,to guide,baby fell down,carrying her,False,True,False,False,False,False,False
25,4129080039_4,0,1,3,0,0,3,777,how does the nearest parrot move across the cage,CH,fly,use beak to pull itself,walk on the ground,skip,roll,False,True,False,False,False,False,False
28,6097011028_8,4,1,4,4,0,4,1380,why did the lady with flower shirt moved her hands in the middle of the video,CW,paddle the oars,to turn the frame,swinging the club,scared to fall,move to the music,False,True,False,False,False,False,False
29,4651795201_8,2,0,2,2,4,2,1872,why was there a hand over the table,CW,put noodles in,write on board,clear plates,give child drink,feed the bird,False,True,False,False,False,False,False
32,7004238086_5,2,4,3,1,4,3,435,how did the cats ensure they are comfortable,CH,caress it,wrapped with blanket,closing their eyes,blanket in the litter box,sitting on the sofa,False,True,False,False,False,True,False
44,4839003204_2,3,1,3,3,0,0,578,why does the woman in blue swipe her eyes near the end of the video,CW,remove makeup,wipe tears,dance together,make face,put cream on man s face,False,True,False,False,False,False,False
45,3205604574_2,0,2,0,0,0,0,2697,why did the girl in pink lift her hands up,CW,get the paint,drink her cup of water,copy boy s gestures,wants boy to hold her hand,to get the adults attention,False,True,False,False,False,False,False
56,5338232189_1,2,4,2,2,4,3,560,why does everyone focus on the lady in white sitting on the floor,CW,learn dancing,playing the drum,listen to her talk,to see what show she is watching,she is opening something,False,True,False,False,False,True,False
60,2676529856_3,0,4,0,0,0,0,1242,why does the baby stomp very hard as he walks around,CW,uncomfortable,for support,to pick up the gift,playing with the baby,he was playing,False,True,False,False,False,False,False
