video_id,video_path,caption,result1,action_caption,video_frames
3238737531,/mnt/adithya/train/3238737531.mp4,a group of kids are playing in the yard and one of them is jumping and falling down,catching or throwing frisbee,catching or throwing frisbee. a group of kids are playing in the yard and one of them is jumping and falling down,"[0, 1, 2, 3, 6, 7, 8, 9, 10, 12, 13, 14, 16, 17, 18, 19, 63, 64, 66, 67, 67, 68, 68, 69, 69, 70, 71, 72, 72, 73, 74, 75]"
8968804598,/mnt/adithya/train/8968804598.mp4,a group of men are in a gym and they are playing a game of fighting.,wrestling,wrestling. a group of men are in a gym and they are playing a game of fighting.,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 8, 8, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 11, 12, 13]"
13884124143,/mnt/adithya/train/13884124143.mp4,a boy is riding a surfboard on a wave park and then falls off.,windsurfing,windsurfing. a boy is riding a surfboard on a wave park and then falls off.,"[0, 1, 2, 3, 4, 4, 4, 4, 5, 6, 7, 8, 9, 10, 10, 11, 12, 13, 14, 14, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26]"
2617504308,/mnt/adithya/train/2617504308.mp4,a man is holding a little boy and he throws a kite in the air.,swinging on something,swinging on something. a man is holding a little boy and he throws a kite in the air.,"[0, 1, 2, 3, 4, 4, 5, 5, 6, 6, 7, 8, 8, 9, 10, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 25, 26, 28, 30]"
10521491465,/mnt/adithya/train/10521491465.mp4,a bear is standing in a zoo and watching a bear show.,headbutting,headbutting. a bear is standing in a zoo and watching a bear show.,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 25, 37, 37, 37, 38, 39, 41, 41, 42, 42, 44, 46, 46, 47, 48, 48, 48]"
4177168857,/mnt/adithya/train/4177168857.mp4,a man is holding a baby and the baby is crying.,air drumming,air drumming. a man is holding a baby and the baby is crying.,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 18, 19, 23, 27, 27, 27, 27, 27, 28, 28, 28, 30, 31, 31, 32, 32, 33, 33, 33]"
3136982378,/mnt/adithya/test/3136982378.mp4,two people are fencing in a yard with a group of people watching.,tai chi,tai chi. two people are fencing in a yard with a group of people watching.,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 16, 17, 18, 19, 19, 20, 21, 22, 23, 23, 24, 24, 24, 24, 25, 25, 25, 27]"
4729027639,/mnt/adithya/train/4729027639.mp4,a group of children are on a stage and they are reading a book.,singing,singing. a group of children are on a stage and they are reading a book.,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 17, 41, 41, 41, 41, 42, 43, 44, 45, 45, 46, 46, 47, 47, 47, 48, 48]"
7093500213,/mnt/adithya/train/7093500213.mp4,a group of people are on a stage and they are clapping and clapping.,yoga,yoga. a group of people are on a stage and they are clapping and clapping.,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 16, 17, 17, 17, 18, 19, 19, 19, 20, 20, 21, 21, 21, 21, 23, 23]"
6102982194,/mnt/adithya/train/6102982194.mp4,a band is playing music and one of them is playing the guitar.,headbanging,headbanging. a band is playing music and one of them is playing the guitar.,"[0, 1, 2, 3, 4, 5, 6, 7, 7, 7, 7, 7, 8, 9, 10, 11, 12, 13, 14, 14, 14, 15, 15, 16, 17, 18, 19, 20, 21, 25, 29, 31]"
