video_id,video_path,caption,result1,action_caption
4010069381,/mnt/adithya/val/4010069381.mp4,a group of people are playing guitars and singing while a man plays the guitar.,busking,busking. a group of people are playing guitars and singing while a man plays the guitar.
4882821564,/mnt/adithya/val/4882821564.mp4,a little boy is playing with a toy and putting it in a bag.,opening present,opening present. a little boy is playing with a toy and putting it in a bag.
2435100235,/mnt/adithya/val/2435100235.mp4,a man is riding a bike with a backpack on a bicycle.,riding unicycle,riding unicycle. a man is riding a bike with a backpack on a bicycle.
2834146886,/mnt/adithya/val/2834146886.mp4,a dog is sitting on a chair and a person is trying to get it to the floor,petting animal (not cat),petting animal (not cat). a dog is sitting on a chair and a person is trying to get it to the floor
8132842161,/mnt/adithya/val/8132842161.mp4,a man and a child are at a zoo and a man is looking at the camera.,kissing,kissing. a man and a child are at a zoo and a man is looking at the camera.
4260763967,/mnt/adithya/val/4260763967.mp4,a little boy is sitting on the floor and is tying a pair of toys.,using remote controller (not gaming),using remote controller (not gaming). a little boy is sitting on the floor and is tying a pair of toys.
3462517143,/mnt/adithya/val/3462517143.mp4,a dog is in a pool with water and a person is giving them a bath.,watering plants,watering plants. a dog is in a pool with water and a person is giving them a bath.
3441428429,/mnt/adithya/val/3441428429.mp4,a man and a woman are ice skating on a stage.,dancing charleston,dancing charleston. a man and a woman are ice skating on a stage.
6356067859,/mnt/adithya/val/6356067859.mp4,a woman is brushing a horse's tail while a man is talking to her.,grooming horse,grooming horse. a woman is brushing a horse's tail while a man is talking to her.
5026660202,/mnt/adithya/val/5026660202.mp4,a group of people are playing instruments on a stage.,playing clarinet,playing clarinet. a group of people are playing instruments on a stage.
9873067604,/mnt/adithya/val/9873067604.mp4,a group of kids are sitting in a car and talking to each other.,shaking head,shaking head. a group of kids are sitting in a car and talking to each other.
5735711594,/mnt/adithya/val/5735711594.mp4,a dog is walking down a sidewalk and a person is walking by.,training dog,training dog. a dog is walking down a sidewalk and a person is walking by.
9088819598,/mnt/adithya/val/9088819598.mp4,a baby is laying on a beanbag and playing with a toy.,sneezing,sneezing. a baby is laying on a beanbag and playing with a toy.
5296635780,/mnt/adithya/val/5296635780.mp4,a man and a woman are talking and one of them is putting a bouquet of flowers in,singing,singing. a man and a woman are talking and one of them is putting a bouquet of flowers in
2614918961,/mnt/adithya/val/2614918961.mp4,two babies are sitting at a table and playing with legos.,shaking head,shaking head. two babies are sitting at a table and playing with legos.
6201488511,/mnt/adithya/val/6201488511.mp4,a man is talking to a woman and a man is dancing.,trimming or shaving beard,trimming or shaving beard. a man is talking to a woman and a man is dancing.
2976913210,/mnt/adithya/val/2976913210.mp4,a man is riding a four wheeler through a river.,motorcycling,motorcycling. a man is riding a four wheeler through a river.
2793260225,/mnt/adithya/val/2793260225.mp4,a group of people are in the water and one of them jumps into the water.,wrestling,wrestling. a group of people are in the water and one of them jumps into the water.
7508439506,/mnt/adithya/val/7508439506.mp4,a baby is laying on a bed and laughing while a man is tickling him.,sticking tongue out,sticking tongue out. a baby is laying on a bed and laughing while a man is tickling him.
6136926089,/mnt/adithya/val/6136926089.mp4,a little boy is pushing a toy car around a room.,faceplanting,faceplanting. a little boy is pushing a toy car around a room.
5987365500,/mnt/adithya/val/5987365500.mp4,a little girl is drinking from a bottle and then she starts to drink from it.,gargling,gargling. a little girl is drinking from a bottle and then she starts to drink from it.
6329077812,/mnt/adithya/val/6329077812.mp4,a woman is holding a baby and the baby is trying to get it to the baby.,baby waking up,baby waking up. a woman is holding a baby and the baby is trying to get it to the baby.
6018490041,/mnt/adithya/val/6018490041.mp4,a group of people are working on a table and some are cleaning the floor,shining shoes,shining shoes. a group of people are working on a table and some are cleaning the floor
6793786769,/mnt/adithya/val/6793786769.mp4,a young boy is playing with a train set and then falls over.,crawling baby,crawling baby. a young boy is playing with a train set and then falls over.
3158022797,/mnt/adithya/val/3158022797.mp4,a group of people are dancing and singing while one of them is holding a microphone.,rock scissors paper,rock scissors paper. a group of people are dancing and singing while one of them is holding a microphone.
6582763207,/mnt/adithya/val/6582763207.mp4,a woman is playing a guitar while a little girl is holding a toy.,singing,singing. a woman is playing a guitar while a little girl is holding a toy.
7416295940,/mnt/adithya/val/7416295940.mp4,a little boy is playing with a toy train set and a dog is playing in the sand,crawling baby,crawling baby. a little boy is playing with a toy train set and a dog is playing in the sand
3171006258,/mnt/adithya/val/3171006258.mp4,a man is sitting on a snowboard and is trying to get up a small hill.,playing paintball,playing paintball. a man is sitting on a snowboard and is trying to get up a small hill.
3943634344,/mnt/adithya/val/3943634344.mp4,a woman is sitting on a bed reading a book to a small child.,playing keyboard,playing keyboard. a woman is sitting on a bed reading a book to a small child.
8547321641,/mnt/adithya/val/8547321641.mp4,a man is holding a little boy and the child is walking in the water.,walking the dog,walking the dog. a man is holding a little boy and the child is walking in the water.
5840177726,/mnt/adithya/val/5840177726.mp4,a group of people are riding their bikes down a hill and one of them falls off.,faceplanting,faceplanting. a group of people are riding their bikes down a hill and one of them falls off.
5833145209,/mnt/adithya/val/5833145209.mp4,a person is feeding a bird food from a cup.,petting animal (not cat),petting animal (not cat). a person is feeding a bird food from a cup.
5333075105,/mnt/adithya/val/5333075105.mp4,a man is walking through the snow with a snow pick.,making snowman,making snowman. a man is walking through the snow with a snow pick.
3963997053,/mnt/adithya/val/3963997053.mp4,a car is burning on a road and a man is trying to put it out.,spraying,spraying. a car is burning on a road and a man is trying to put it out.
9082180631,/mnt/adithya/val/9082180631.mp4,a man is showing a group of kids how to slide down a snowy hill.,tobogganing,tobogganing. a man is showing a group of kids how to slide down a snowy hill.
7533369046,/mnt/adithya/val/7533369046.mp4,a baby is crawling on the floor and then she is trying to get her attention.,crawling baby,crawling baby. a baby is crawling on the floor and then she is trying to get her attention.
5679866364,/mnt/adithya/val/5679866364.mp4,a group of people are riding jet skis in a river.,crossing river,crossing river. a group of people are riding jet skis in a river.
5116088152,/mnt/adithya/val/5116088152.mp4,a baby is sitting in a high chair eating ice cream.,eating chips,eating chips. a baby is sitting in a high chair eating ice cream.
4094488636,/mnt/adithya/val/4094488636.mp4,a dog is being walked on a leash and a person is running around.,training dog,training dog. a dog is being walked on a leash and a person is running around.
7149153537,/mnt/adithya/val/7149153537.mp4,a man is holding a baby and the baby is jumping in the pool.,feeding fish,feeding fish. a man is holding a baby and the baby is jumping in the pool.
3562017845,/mnt/adithya/val/3562017845.mp4,a person is holding a bird in their hand and they are feeding it.,catching fish,catching fish. a person is holding a bird in their hand and they are feeding it.
6895608152,/mnt/adithya/val/6895608152.mp4,a group of young girls are dancing ballet on a stage.,tap dancing,tap dancing. a group of young girls are dancing ballet on a stage.
6265968082,/mnt/adithya/val/6265968082.mp4,a man is playing guitar and singing while another man plays a guitar.,playing ukulele,playing ukulele. a man is playing guitar and singing while another man plays a guitar.
2984974097,/mnt/adithya/val/2984974097.mp4,a little girl is riding her bike down the street.,riding mountain bike,riding mountain bike. a little girl is riding her bike down the street.
3429509208,/mnt/adithya/val/3429509208.mp4,a little boy is vacuuming the floor with a vacuum cleaner.,sweeping floor,sweeping floor. a little boy is vacuuming the floor with a vacuum cleaner.
3550839192,/mnt/adithya/val/3550839192.mp4,a baby is sitting in a stroller and is being pushed by a man.,driving car,driving car. a baby is sitting in a stroller and is being pushed by a man.
3477387686,/mnt/adithya/val/3477387686.mp4,a girl is sitting on the grass and a dog is shaking her head.,grooming dog,grooming dog. a girl is sitting on the grass and a dog is shaking her head.
2405940242,/mnt/adithya/val/2405940242.mp4,a woman is climbing down a hill with a rope and a man is talking to her.,swinging on something,swinging on something. a woman is climbing down a hill with a rope and a man is talking to her.
7308042410,/mnt/adithya/val/7308042410.mp4,a woman is making a pot on a pottery wheel.,weaving basket,weaving basket. a woman is making a pot on a pottery wheel.
7499763064,/mnt/adithya/val/7499763064.mp4,a man is rock climbing while another man is talking in the background.,abseiling,abseiling. a man is rock climbing while another man is talking in the background.
8740703217,/mnt/adithya/val/8740703217.mp4,a baby is sitting in a high chair and eating food and then she puts it in her,eating spaghetti,eating spaghetti. a baby is sitting in a high chair and eating food and then she puts it in her
3821781616,/mnt/adithya/val/3821781616.mp4,a man is drinking a beverage and then he takes a drink.,getting a tattoo,getting a tattoo. a man is drinking a beverage and then he takes a drink.
4815534482,/mnt/adithya/val/4815534482.mp4,a little boy is driving a toy car down a parking lot.,pushing car,pushing car. a little boy is driving a toy car down a parking lot.
