,qid,ATP,answer,EIGV,HGA,IGV,VGT,frame_count,question,type,a0,a1,a2,a3,a4,all_correct,all_wrong,ATP_correct,EIGV_correct,HGA_correct,IGV_correct,VGT_correct
3,3430723284_5,3,3,3,3,4,3,796,how does the man show care to the baby,CH,by his hands around baby s back,turning and looking,talk,caress baby,move baby up and down,True,False,True,True,True,False,True
8,3747186945_6,4,4,4,4,4,4,1179,how did the girl in braids feel after she finally found the item under the sofa at the end of the video,TN,turned behind,put finger in her mouth,touch ball,put the box aside,happy and excited,True,False,True,True,True,True,True
10,9528960175_7,3,3,3,3,1,3,4500,where is the child at,DL,playground,along a pathway,dining table,bedroom,bathtub,True,False,True,True,True,False,True
11,9289576155_3,3,3,3,3,4,3,1196,why does the brown cat watch the other cat eat food,CW,wants to go into box,resting,change playing position,waiting for his turn,to rest,True,False,True,True,True,False,True
17,7064920441_8,0,0,0,0,0,0,2179,how does the baby react after the man in green shows his phone,TN,lean forward to look,throws it at the centre of the table,turns to face the green ball,vomits,walk around the table,True,False,True,True,True,True,True
20,3579030253_7,0,0,0,0,0,0,2697,how many dogs are there in the video,DC,two,three,four,five,six,True,False,True,True,True,True,True
26,6579160577_0,2,2,2,2,1,2,1096,where is the boy looking at the piano while he plays it,CW,at pedal,microphone,looking at the keys,lady,at his phone,True,False,True,True,True,False,True
27,7064920441_2,3,3,3,3,4,3,2179,how is the man feeling while he bounces the baby up and down,TC,dismissive,angry,contented,happy,upset,True,False,True,True,True,False,True
33,5866947362_7,2,2,2,2,4,2,1536,how is the woman in green feeling watching the man in brown and the girl,TC,terrible,afraid,happy,shy,weary,True,False,True,True,True,False,True
34,6801869574_2,3,3,3,3,4,3,600,why does the man pull the baby sitting on the sled by the rope,CW,bring baby away from woman,for boy to pull sled,pass it to boy,help baby sledge,show to other people,True,False,True,True,True,False,True
