video_id,SwinBERT Captions,SwinBERT Confidence Scores
4684348177,a cat is lying on a couch and a person is petting it.,0.483389288
5793843215,a baby is sitting in a high chair and is fed a carrot.,0.492203534
2662773013,a man is eating a bag of chips and then a woman is holding a bag of chips,0.293656349
3515562099,a cat is in a bathtub and a person is petting a cat.,0.478138179
4188739935,a young boy rides a red motorcycle around a public area.,0.367527992
8044317011,a man is surfing on a wave in a river.,0.426595867
4097448142,a man is holding a leaf blower and a little girl is running around the yard.,0.423041642
6321842912,a baby is laying on a couch and sneezes while a woman talks to her.,0.463068664
4827069441,a little girl is sitting on the ground and petting a goat.,0.537814319
4353644811,a man is sitting on a couch and shaking his head.,0.45263803
9196346891,a little girl is sitting on a bean bag and talking to someone.,0.479299337
11848898333,a group of people are walking in a rocky area.,0.461883396
2597214137,a baby is sitting on the floor playing with a toy and then he falls off.,0.459258705
5328563234,a baby is crawling on a mat while a woman is talking to him.,0.429319471
5883748313,a baby is laying on a bed and drinking from a bottle.,0.533244491
3503206487,a man is riding a bike and then a man is riding a bike.,0.440855414
3258993991,a dog is playing with a toy dog and the dog is running around.,0.294579923
3230196661,a man is lying on a bed and is petting a cat.,0.486914337
3757188016,a group of people are sitting in chairs and playing guitars.,0.454148918
3204890216,a boy is walking with a dog on a leash while a dog runs behind him.,0.480200619
6925889081,a woman is sitting on the floor with a baby and the baby is playing with him.,0.501040399
6487405415,a little girl is holding a paper and then she starts to laugh.,0.3830387
4400018396,a little girl is standing in front of a piano and playing a song on a keyboard.,0.52820766
12297528943,a little boy is sitting on the floor trying to put on his shoes.,0.621003807
3375723261,a band is playing music and one man is playing the drums and the other man is playing,0.361823052
8724958702,two girls are in a classroom and one of them is throwing something into a board.,0.352543324
3356104811,a group of people are outside and they are flying a kite.,0.497187763
5530887795,a man and woman are performing a dance routine in front of a crowd.,0.46785441
5419971337,a boy is playing with a toy train set on the floor.,0.503254294
2573200479,a little boy walks into a house and walks into the room and walks away.,0.336710364
2621079735,a group of birds are eating food from a pond.,0.416370869
5512460825,a little boy is riding a red tricycle on the sidewalk.,0.480982214
9497036968,a woman is holding a baby and the baby is trying to get it to the baby.,0.437595099
5027434211,a woman is holding a bird and then the cat is barking at the camera.,0.244114041
5503178247,two babies are sitting on a bed and shaking their heads and shaking their heads.,0.510586798
4925380602,a man is holding a baby and the baby is laughing.,0.466786414
4699202703,a young boy is holding a phone to his ear and then he talks about it.,0.43874678
2404303400,a group of people are playing instruments in a busy city.,0.406487614
7764531324,two girls are dancing in a room and then they start dancing.,0.393422097
5263448487,a group of indian musicians play music on the ground.,0.447351158
2562609358,a group of men are on a stage and they are dancing to music.,0.534441531
4847938096,a group of people are walking around a hill and then a man is walking in the grass,0.317191005
5996089553,a woman is holding a dog and trying to get it to a dog.,0.348975509
4896320624,a boy is throwing a football to a boy who is standing in a room.,0.39976874
3386797396,a little girl is feeding a goat through a fence.,0.58287698
8937320349,a baby is pushing a toy cart around the room.,0.498495251
3697296215,a group of people are sitting around a table and one man is sitting on the floor and,0.395481795
8733460386,a group of men are sitting on the ground and are using tools to make music.,0.425498337
6097011028,a woman is holding a book while another woman is talking to her.,0.344497025
6246539463,a bird is eating from a tree and a person is holding a cup of food.,0.369331807
4775972536,two babies are in a car seat and one of them is waving his hands.,0.466280609
7049300643,two young children are swinging on a swing while a man talks to them.,0.532808244
3060640279,a baby is sitting in a chair and eating a piece of food.,0.50421077
14015503616,a man is working on a table and is making a drink.,0.315610647
2851079460,a little boy is sitting in a chair and another little girl is laughing.,0.418578953
5031339015,a woman is standing on a cliff and then jumps off a cliff.,0.458684415
6422715075,a man and woman are outside and they are dancing to music.,0.428337008
8181417359,a baby is laying on the floor and playing with a baby.,0.440112084
2704509130,a group of people are playing a game of dodgeball on a court.,0.621470571
5987596954,a man is doing a dance routine in front of a group of children.,0.465955317
7350473698,a group of people are singing and singing while a man is talking.,0.359723002
6572242521,a man is playing with a ball and a dog is chasing him.,0.374854892
3391727812,a person is flying a kite in the air and then a person is filming it.,0.311779946
7527437500,two children are standing on the beach and throwing rocks into the water.,0.471654683
8208916209,a cat is crawling on the floor and a person is petting it.,0.453695387
13887487955,a construction site is being used to dig a large pile of dirt.,0.316806138
3571539122,a group of people are on stage performing a dance routine.,0.536310792
4914358389,a dog is running around with a ball and a dog runs around him.,0.369273603
7607650838,a little boy is being held up by a woman and is waving his arms.,0.357583582
5634780426,a man is sitting on a couch playing a guitar and singing a song.,0.675056636
3134608824,a little girl is trying to get her dog to walk around the kitchen.,0.326035023
8313516540,a family is sitting around a table and opening gifts.,0.40862456
2567017373,a little girl is walking around on a playground bench and then she picks up a phone and,0.391466796
2774651526,a woman is riding a motorized scooter down a street.,0.581611037
2703151976,a woman is at a podium and is speaking to a group of people.,0.441940039
2891522362,a little boy is sitting on the floor and trying to clean his shoes.,0.442108899
2419603277,a group of men are sitting in a room and talking and playing rock paper scissors.,0.471256465
7108622827,a cat is being petted by a person while the cat is running around.,0.321811914
12566336114,a young boy is playing a guitar and singing while a man plays a guitar.,0.418098897
2883068209,a baby is crawling on the floor and then falls over.,0.472664028
8039477324,two little girls are sitting at a table and they are playing with their hands.,0.536497891
10377993075,two people are swinging on a rope and swinging back and forth.,0.475543052
13384357414,a man is sitting at a table with a group of people and a woman is talking to,0.367640704
7964565242,a person is washing their hands in a sink and then rinses them off.,0.467923969
4444103383,a band is playing on stage and one of them is playing the guitar and singing.,0.449408263
9645028313,two firemen are on a ladder and one of them is climbing out the gutters.,0.482566148
7693297646,a little girl is climbing up a slide on a playground.,0.38513124
5129522873,a band is playing music while a band plays the trombone.,0.365822047
3111307977,a cat is walking around a table and a person is picking up a cloth.,0.343488544
3098211126,a little girl is walking around a room and then she walks away.,0.330167055
4389226223,a man is holding a baby and the baby is laughing.,0.49606353
4940808240,a baby is sitting in a car and playing with a toy car.,0.495900631
3239829542,a man and a child are riding on an elephant.,0.493776232
6854689594,a football player runs and tackles another player in a football game.,0.437227368
4417481754,a man is talking about a beer while a woman is drinking a glass of beer.,0.372578233
4821488995,a baby is sitting in a high chair and is being fed by a woman.,0.57158488
5965771409,a woman is playing with a baby and the baby is shaking the baby's head.,0.399675488
9970821386,a woman is sitting on the floor and playing with a baby and the baby is sitting on,0.395339161
3295715150,a man is walking around a building and carrying a bag.,0.331378877
3353667980,a young boy is playing a song on a piano.,0.621252239
4719167605,a baby is sitting on a woman's lap and the baby is shaking its head.,0.512287796
4975976007,a woman is sitting on a couch with a man and is talking to her.,0.412494034
2399811629,a man climbs a ladder and then climbs up a ladder.,0.378439903
7163754671,a dog is running around with a dog and the dog is running away.,0.318955123
4967866673,a woman is water skiing on a lake while being pulled by a boat.,0.557113707
3615527856,a person is riding a scooter down a path in a wooded area.,0.564281464
4430422083,a young boy is feeding a bird to a fence.,0.406068444
8069728449,a man is sitting down and playing a guitar.,0.549094141
5126634355,a man is getting his head shaved by a barber.,0.554772019
2668355090,a man and a little girl are standing on a bridge and a man is standing next to,0.371341586
6557505435,a person is shaking a dog and the dog is trying to get it to the camera.,0.337385535
3360428599,a man is walking a small dog on a leash and a cat is running around.,0.320072919
4158599646,a man is smiling and smiling and smiling while smiling.,0.322099268
3779711120,two boys are playing in a pool and one boy jumps into the pool.,0.504007459
7871817080,a baby is sitting on the floor playing with a toy and a man is talking to him,0.529725134
3614307523,a man is walking through the woods with a camera.,0.481385916
6610681021,a person is holding a bird in their hand and they are holding a bird.,0.469304979
3492285627,a toddler is sitting in a high chair eating cake with his hands.,0.592830777
4790930424,a group of people are celebrating a birthday party and a girl blows out candles on her cake,0.48911944
6000221920,a man is playing a musical instrument and then he walks away.,0.400050581
12681500005,a little girl is sitting on a piano and playing the piano.,0.498487949
4226455621,a man is playing with a baby and the baby is laughing.,0.424834102
8395915736,a baby is crying while a woman is cutting the hair of a baby.,0.464047015
9561963944,a dog is sitting on a chair and a person is opening the door.,0.438729614
