video_id,video_path,caption,result1,action_caption,video_frames
2574374895,/mnt/adithya/test/2574374895.mp4,a baby is sitting on a couch and drinking from a sippy cup.,cleaning floor,cleaning floor. a baby is sitting on a couch and drinking from a sippy cup.,"[0, 1, 2, 3, 4, 5, 6, 7, 23, 24, 26, 26, 27, 28, 28, 28]"
2925959064,/mnt/adithya/test/2925959064.mp4,a person is feeding a bunch of birds in a river.,feeding fish,feeding fish. a person is feeding a bunch of birds in a river.,"[2, 3, 4, 6, 7, 8, 9, 10, 29, 31, 31, 33, 37, 37, 39, 39]"
3083302557,/mnt/adithya/test/3083302557.mp4,a person is walking down a path in a wooded area.,playing paintball,playing paintball. a person is walking down a path in a wooded area.,"[2, 3, 4, 5, 7, 9, 10, 11, 25, 25, 25, 27, 27, 30, 30, 31]"
3430723284,/mnt/adithya/test/3430723284.mp4,a man is holding a baby and the baby is trying to get the baby to laugh.,carrying baby,carrying baby. a man is holding a baby and the baby is trying to get the baby to laugh.,"[0, 1, 2, 3, 4, 5, 6, 7, 12, 13, 14, 14, 14, 15, 17, 17]"
3621121750,/mnt/adithya/test/3621121750.mp4,a woman is sitting on a chair and a little boy is sitting on a chair and the,using computer,using computer. a woman is sitting on a chair and a little boy is sitting on a chair and the,"[0, 1, 3, 5, 6, 7, 8, 9, 10, 10, 11, 12, 13, 13, 17, 18]"
4078892037,/mnt/adithya/test/4078892037.mp4,a baby is swinging on a swing and then he starts to dance.,laughing,laughing. a baby is swinging on a swing and then he starts to dance.,"[0, 1, 2, 3, 5, 9, 10, 11, 27, 28, 29, 29, 30, 32, 34, 37]"
4522565412,/mnt/adithya/test/4522565412.mp4,a man is sitting at a table and trying to solve a rubik's cube.,shuffling cards,shuffling cards. a man is sitting at a table and trying to solve a rubik's cube.,"[0, 1, 3, 4, 5, 6, 7, 8, 13, 14, 15, 15, 17, 20, 20, 23]"
4740931975,/mnt/adithya/test/4740931975.mp4,a man is standing on a bridge and he is catching a fish.,spinning poi,spinning poi. a man is standing on a bridge and he is catching a fish.,"[0, 1, 2, 3, 4, 5, 6, 7, 18, 23, 24, 24, 25, 25, 27, 28]"
3747186945,/mnt/adithya/test/3747186945.mp4,a group of kids are playing with a toy and a little girl runs around the room.,decorating the christmas tree,decorating the christmas tree. a group of kids are playing with a toy and a little girl runs around the room.,"[2, 3, 4, 6, 7, 8, 10, 11, 36, 38, 38, 38, 39, 40, 40, 41]"
6091329636,/mnt/adithya/test/6091329636.mp4,a woman is riding a bike down a path and then stops.,riding mountain bike,riding mountain bike. a woman is riding a bike down a path and then stops.,"[0, 1, 2, 3, 4, 5, 6, 7, 10, 10, 10, 10, 11, 11, 11, 11]"
