,qid,ATP,answer,EIGV,HGA,IGV,VGT,frame_count,question,type,a0,a1,a2,a3,a4,all_correct,all_wrong,ATP_correct,EIGV_correct,HGA_correct,IGV_correct,VGT_correct
8,3747186945_6,4,4,4,4,4,4,1179,how did the girl in braids feel after she finally found the item under the sofa at the end of the video,TN,turned behind,put finger in her mouth,touch ball,put the box aside,happy and excited,True,False,True,True,True,True,True
17,7064920441_8,0,0,0,0,0,0,2179,how does the baby react after the man in green shows his phone,TN,lean forward to look,throws it at the centre of the table,turns to face the green ball,vomits,walk around the table,True,False,True,True,True,True,True
20,3579030253_7,0,0,0,0,0,0,2697,how many dogs are there in the video,DC,two,three,four,five,six,True,False,True,True,True,True,True
57,2925959064_0,0,0,0,0,0,0,1233,why is the white bird perched on a rock,CW,resting,eating,marking for landing spot,enjoying sunlight,passerby taking photos,True,False,True,True,True,True,True
58,2400084970_2,0,0,0,0,0,0,635,why did the lady in green cover her mouth and bend down in the middle,CW,laughing,tie shoelace,adjust shoes,focused on the ground,attract dog's attention,True,False,True,True,True,True,True
91,4311927018_6,0,0,0,0,0,0,888,why are there people inside the building,CW,working,listening to speaker,watching fencers,show the outside,to blow toy,True,False,True,True,True,True,True
135,4178047134_3,4,4,4,4,4,4,641,how was the lady carrying the baby at the beginning of the video,CH,touch fingers,carry in baby bag,with baby pouch,jumping,hold the baby s chest,True,False,True,True,True,True,True
151,5503178247_5,0,0,0,0,0,0,950,how many kids were there,DO,two,one,three,six,five,True,False,True,True,True,True,True
155,5780852028_4,0,0,0,0,0,0,1438,why are there two men wearing black holding the bicycles at the start,CW,stabilise bicycles,fix the bicycle,take photo of bicycle,getting off their bicycles,protect participants,True,False,True,True,True,True,True
157,4924794333_6,1,1,1,1,1,1,1058,how does the baby play the instrument,CH,kick it,press the keys,step on it,tear the music sheet,jump on it,True,False,True,True,True,True,True
158,12299711406_11,1,1,1,1,1,1,938,where could this be happening,DL,function room,kitchen,garden,pavement,in a shop,True,False,True,True,True,True,True
161,8316861265_3,0,0,0,0,0,0,1863,what is the girl doing,TC,dancing,skiing,playing with stool,throwing bin,playing with toys,True,False,True,True,True,True,True
172,6134687264_0,1,1,1,1,1,1,431,why does the child in stripes hold on to the table,CW,reach for the utensils,support,take the food,clean the table,adjust the tablecloth,True,False,True,True,True,True,True
195,7691046836_9,0,0,0,0,0,0,1460,why did the boy in checkered turned his head to his left several times,CW,look at man,turn on the path,to show off toy,sleeping,looking at drumstick,True,False,True,True,True,True,True
197,3121452683_4,4,4,4,4,4,4,831,why did the man twirl the girl to do a circle around,CW,she was facing the wrong direction,ice skating,encourage baby to dance,following the video,part of dance move,True,False,True,True,True,True,True
199,11645942265_1,4,4,4,4,4,4,980,why was there a dog looking at the ground when the man walked,CW,to guide the man,guide the dog the direction,ensure the dog s on right path,want to be caressed,smelling the ground,True,False,True,True,True,True,True
205,2597214137_6,0,0,0,0,0,0,2697,where is this place,DL,living room,stage,zoo,dirt field,mountain,True,False,True,True,True,True,True
209,4463062358_2,0,0,0,0,0,0,526,why did the baby smile at the man when he touches him,CW,enjoying his touch,angry,upset,feels clean,disappointed,True,False,True,True,True,True,True
214,6176571322_2,1,1,1,1,1,1,384,why do each of the girls hold onto a puppet at the beginning of the video,CW,drag the red box,performed using puppets,dancing performance,playing with baby,pick up something on the floor,True,False,True,True,True,True,True
223,4220621763_0,1,1,1,1,1,1,1338,how do people keep warm indoors,DO,dimly lighted,wear thick clothes,stretch,winter jacket,wear socks,True,False,True,True,True,True,True
235,11367655303_2,0,0,0,0,0,0,452,why is the dog chewing on the ball,CW,playing with it,wang to play with one another,take the food,hold in place,tear out meat,True,False,True,True,True,True,True
244,12908685313_7,4,4,4,4,4,4,1442,what is the person sitting back doing with her pole in the middle of the video,TC,nodding,walk off with the pole,throwing it away,pass pole to the man,raised her pole,True,False,True,True,True,True,True
248,3028133743_4,1,1,1,1,1,1,494,how does baby react after the woman raises the kid in the pool,CH,holding the baby in her hands,laugh,walk to the man,hold baby s body,hit water with hand,True,False,True,True,True,True,True
252,4346015300_5,0,0,0,0,0,0,575,where is this video taken,DL,room,sheltered area,boxing ring,mountain areas,outdoors,True,False,True,True,True,True,True
253,4039610385_8,1,1,1,1,1,1,981,what did the woman do after she raised her hands,TN,playing with stool,dance,continue cycling,playing golf,teaching to read,True,False,True,True,True,True,True
274,6862984319_8,1,1,1,1,1,1,696,how many elephants are in the video,DC,five,two,six,one,four,True,False,True,True,True,True,True
279,7251069966_2,1,1,1,1,1,1,630,what does the dog do before it sees the person in blue picking up the ball,TP,rest,move away from ball,lays down,swing his paws,bring it to lady in jeans,True,False,True,True,True,True,True
313,5509677964_8,1,1,1,1,1,1,389,why are the babies leaning on the adults shoulder,CW,baby are scared,support themselves,for warmth,for comfort after crying,to see higher,True,False,True,True,True,True,True
318,3571539122_7,0,0,0,0,0,0,415,where are the people performing,DL,on stage,street,grass patch,in the sea,pool,True,False,True,True,True,True,True
332,13887487955_5,4,4,4,4,4,4,1602,what did the man with blue helmet do after he first bent down near the start,TN,jump happily,look up,walks away,crawl to the lady,push some cement,True,False,True,True,True,True,True
343,4863455612_5,1,1,1,1,1,1,732,what does the woman in grey do after approaching the grey object at the start,TN,drinks water,brush the grey object,lean forward,smiling,talks to the woman in red,True,False,True,True,True,True,True
346,8105743251_0,4,4,4,4,4,4,917,how many dogs are there,DC,six,three,four,one,two,True,False,True,True,True,True,True
348,3747923836_3,4,4,4,4,4,4,935,why did the boy in green shorts hold the bicycle,CW,wide hole on the ground,cycling,practicing,posing,assist getting the bike out of water,True,False,True,True,True,True,True
352,4039239344_7,0,0,0,0,0,0,360,where is this video taken,DL,pond,park,dancing hall,kitchen,outdoor,True,False,True,True,True,True,True
387,8617869131_4,4,4,4,4,4,4,926,how did the two people at the end of the video react when they saw the men with the horse,TC,get off the scooter,raise his eyebrows,put hand on forehead,looks back at the man speaking,turn towards the horse,True,False,True,True,True,True,True
412,3089060111_7,0,0,0,0,0,0,940,what did the baby do when he put his hand on the air vent in the middle,TC,hover toy over air vent,touch the cake,sits on it,move legs,laying on air vent,True,False,True,True,True,True,True
419,7004238086_2,0,0,0,0,0,0,435,where is this video taken,DL,living room,backyard,kitchen,supermarket,mountain,True,False,True,True,True,True,True
423,6237913346_1,0,0,0,0,0,0,1219,where is the video taken,DL,living room,zoo,carrot farm,park,beach,True,False,True,True,True,True,True
456,4203080888_4,0,0,0,0,0,0,801,which room in the house is the girl at,DO,living room,bottle of syrup,friends,pet,piano,True,False,True,True,True,True,True
